User_ID,Food_ID,Rating
4,1,1.7
7,2,3.8
13,3,5.0
16,4,2.1
1,5,2.1
8,6,1.3
9,7,1.4
4,8,2.7
20,9,3.2
20,10,4.0
14,11,3.1
5,12,1.9
4,13,2.4
13,14,2.0
17,15,3.8
19,16,2.2
4,17,4.5
3,18,4.1
8,19,2.6
11,20,1.0
20,21,3.3
10,22,2.7
18,23,3.7
7,24,4.2
8,25,4.4
19,26,1.6
8,27,1.2
19,28,4.3
8,29,4.7
9,30,1.2
2,31,3.8
9,32,3.8
12,33,4.9
17,34,3.0
19,35,2.2
6,36,4.7
13,37,1.7
11,38,2.5
12,39,4.5
1,40,3.7
19,41,2.0
7,42,4.0
15,43,4.8
2,44,3.0
16,45,5.0
4,46,2.8
8,47,2.1
20,48,3.9
10,49,2.0
5,50,1.4
5,51,3.6
10,52,2.1
5,53,2.5
15,54,4.0
6,55,2.1
13,56,4.7
6,57,2.6
10,58,1.7
7,59,2.0
20,60,1.1
1,61,2.8
4,62,4.3
9,63,1.8
12,64,4.8
14,65,1.4
5,66,1.9
3,67,1.7
19,68,1.6
5,69,4.3
17,70,2.3
5,71,4.4
6,72,3.7
15,73,3.8
4,74,3.3
6,75,4.9
11,76,2.3
16,77,2.0
5,78,1.4
9,79,3.8
3,80,3.5
20,81,2.3
4,82,3.4
16,83,4.7
20,84,4.8
19,85,4.2
15,86,4.7
10,87,2.8
1,88,2.7
17,89,4.0
6,90,3.6
10,91,4.4
2,92,4.8
8,93,1.1
14,94,2.4
17,95,1.9
10,96,2.0
6,97,1.3
19,98,4.9
18,99,3.8
4,100,1.3
